BLEU,ROUGE,BLEURT,METEOR,BERTScore,BARTScore,Claude_Informativeness,Claude_Clarity,Claude_Effectiveness
0.054392081,0.3902439024390244,0.6223126649856567,0.3173061135132176,0.3780980110168457,0.6020160436630249,6,7,6
0.054129892,0.3636363636363636,0.7066774964332581,0.3586647727272727,0.4258328080177307,0.7470472812652588,6,6,6
0.1282966712170717,0.4242424242424242,0.6637317538261414,0.4422169811320754,0.5107378959655762,0.7205875396728516,6,7,6
0.012702492,0.1568627450980392,0.5452619791030884,0.138549805,0.2675318419933319,0.6531824827194214,6,7,6
0.03773412,0.2272727272727272,0.7198566198348999,0.2309236947791164,0.4176161289215088,0.7646615505218506,6,6,6
0.062377372,0.3098591549295775,0.5348359942436218,0.2298134011874469,0.3274990916252136,0.5934235572814941,6,6,5
0.078367439,0.4,0.7175095677375793,0.3345517311402172,0.3589252233505249,0.7979030847549439,6,7,6
0.057742157,0.2777777777777778,0.5604180097579956,0.409982175,0.3785264194011688,0.6464781284332275,6,5,6
0.017036293,0.1951219512195122,0.4468230605125427,0.1162790697674418,0.2633377015590668,0.6714987993240357,6,6,6
0.01080888,0.2051282051282051,0.492874265,0.073260073,0.1741530001163482,0.6266169071197509,7,7,7
0.1370311858664025,0.7407407407407408,0.7932537794113159,0.5622973114342503,0.8124173283576965,0.7703430414199829,6,6,5
0.1975829551377349,0.5454545454545454,0.7887378334999084,0.5836685635792779,0.5080856680870056,0.776187801,6,6,5
0.058763164,0.2222222222222222,0.63993001,0.2889107450208999,0.4214059114456177,0.7424061059951782,6,7,6
0.009359634,0.2666666666666666,0.4508566856384277,0.1856711518197292,0.1994475126266479,0.6124539613723755,6,7,6
0.1042265279782483,0.4705882352941176,0.7044877409934998,0.5803261382893019,0.4978266358375549,0.7140516042709351,4,5,4
0.1529156668337311,0.6206896551724138,0.8186303377151489,0.4725690170564446,0.7119314074516296,0.8205310702323914,6,7,6
0.1264235902142934,0.3555555555555555,0.68626231,0.3509527089072543,0.4726504385471344,0.6704085111618042,6,6,6
0.019146031,0.08,0.5121659636497498,0.090909091,0.2006387263536453,0.6311218023300171,6,7,6
0.079222507,0.4615384615384615,0.7132171392440796,0.4776739356178608,0.5178858637809753,0.7272349834442139,6,7,6
0.2271870978054232,0.7500000000000001,0.7327147722244263,0.7934426229508196,0.63980341,0.7323051452636719,5,6,5
0.051248925,0.3673469387755103,0.5760645866394043,0.2709768905235637,0.4921039938926697,0.6915580272674561,5,6,5
0.004431574,0.2318840579710144,0.5204612016677856,0.1469522240527182,0.3299613296985626,0.79383862,5,6,5
0.084930987,0.3478260869565217,0.7285402417182922,0.3946902654867256,0.5956624150276184,0.7497327327728271,6,7,6
0.028398387,0.3333333333333333,0.7454912066459656,0.2793141592920354,0.4101266264915466,0.5990726947784424,6,7,6
0.119547266,0.5517241379310345,0.750385046,0.6263166423594232,0.4735623002052307,0.591876745,6,6,6
0.005444476,0.24,0.3651406764984131,0.1372779327558361,0.2941729724407196,0.6111804962158203,5,6,4
